Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
0,PACO RABANNE,1 Million Lucky,395.0,244.55,100,EDT,Men,Woody,"Oakmoss, Patchouli and Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
1,Roberto Cavalli,Paradiso Assoluto,415.0,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
2,S.T.Dupont,Royal Amber,265.0,186.9,100,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,5.0,noon,4.2,98.1K,False,False,True,False,False,True,False,False,False
3,GUESS,Seductive Blue,290.0,103.2,100,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,3.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
4,Roberto Cavalli,Uomo,260.0,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
5,Roberto Cavalli,cavalli,260.0,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
6,HUGO BOSS,The Scent,220.0,220.0,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4.0,rich&light,43.0,4K,False,False,False,True,False,True,False,False,False
7,DORALL COLLECTION,Gold Secret,43.0,12.35,100,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,2.9,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
8,GUCCI,Bamboo,575.0,189.0,75,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,4.8,Al-Najm,3.7,347,False,False,False,True,False,True,False,False,False
9,Yves Saint Laurent,M7 Oud Absolu,536.0,273.0,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347,False,True,False,False,False,False,True,False,False
10,CERRUTI 1881,1881,335.0,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",4.3,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
11,Calvin Klein,IN 2 U MEN,152.0,85.0,100,EDT,Men,Citrus,"White Musk, Vetiver and Cedar",Cacao Pod,3.7,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
12,Rasasi,Royale Blue,97.0,45.3,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,Distinct and Exotic,4.5,Bismat Eatar,3.9,66,False,True,False,False,False,True,False,False,False
13,MONTALE,Black Oud,455.0,240.0,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3,noon,4.2,98.1K,False,True,False,False,False,True,False,False,False
14,Yves Saint Laurent,L'Homme,536.0,273.8,100,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",3.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
15,CHLOE,Love Story,483.0,274.95,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
16,NARCISO RODRIGUEZ,Narciso Rouge,591.0,275.15,90,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,4.5,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
17,DORALL COLLECTION,24 Pure,22.0,9.85,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
18,Rasasi,Romance,60.0,35.25,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar and Sandalwood","Rose,Jasmine",4.5,B.A.G,3.7,14.1K,False,False,False,True,False,True,False,False,False
19,BOUCHERON,Quatre,327.0,171.5,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5.0,Star.perfume,3.9,537,False,False,False,True,False,True,False,False,False
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595.0,200.0,100,EDP,Women,Floral,Patchouli and Sandalwood,Amber and Musk,4.6,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
21,Alina Corel,Monsieur Intense Gold,31.45,31.45,100,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5.0,Kathya,3.8,116,False,False,True,False,False,True,False,False,False
22,Revlon,Charlie Gold,143.0,43.0,100,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4.0,Golden Perfumesعطر أصلي 100  %,3.6,113,False,False,False,True,False,False,True,False,False
23,TED LAPIDUS,Pour Homme,129.0,44.45,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5.0,neo lek,3.5,88,False,True,False,False,False,False,True,False,False
24,Britney Spears,Fantasy,170.0,90.0,100,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5.0,Cute Shop,3.8,76,False,False,False,True,False,True,False,False,False
25,GUCCI,Bloom Aqua Di Fiori,515.0,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
26,Yves Saint Laurent,Body Kouros,510.0,203.6,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
27,Van Cleef & Arpels,First,170.95,170.95,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",5.0,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465.0,226.0,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4.0,Brand Land,4.2,98,False,False,False,True,False,True,False,False,False
29,S.T.Dupont,S.T. Dupont,120.0,79.35,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk and Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender and Jasmine",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
30,Estee Lauder,Knowing,585.0,220.0,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood and Amber","Jasmine, Patchouli and Orange Flower",5.0,KAYA,4.3,4K,False,False,False,True,False,True,False,False,False
31,Geoffrey Beene,Grey Flannel For Men,361.0,79.0,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium and Narcissus",5.0,top langri,3.7,347,False,True,False,False,False,False,True,False,False
32,Dolce & Gabbana,The Only One,596.0,187.3,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood And Heliotrope","Coffee, Iris",5.0,Asrar Aljamal,3.5,244,False,False,False,True,False,True,False,False,False
33,Rasasi,Al Wisam Day,177.0,76.0,100,EDP,Men,Oriental,"Oak Moss, And Rich And Musty Oud","Amber Nuanced Clary Sage, Soft And Milky Sandalwood, And Woody Cedarwood",4.3,hadayiq baris,3.8,122,False,True,False,False,False,True,False,False,False
34,Mancera,Black Vanilla,588.0,296.0,120,EDP,Unisex,Woody,Vanilla Pods from Madagascar and White Musk,"Delicate Bulgarian Rose, Violet, and Jasmine",3.0,MAKE UP,3.8,71,False,False,True,False,False,True,False,False,False
35,Dior,Addict,715.0,333.8,100,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood And Tonka Bean","Night Queen Flower, Bulgarian Rose And Orange Flower",4.5,Parfume-Stor,3.5,63,False,False,False,True,False,True,False,False,False
36,S.T.Dupont,Passenger,182.0,108.9,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5.0,perfumes--addresses,4.4,59,False,True,False,False,False,False,True,False,False
37,BURBERRY,Brit Rhythm Intense,370.0,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
38,Calvin Klein,CK Be,247.0,108.3,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
39,GUCCI,Guilty,504.0,214.9,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5.0,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
40,AIGNER,Starlight,341.0,126.95,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla and White Musk","Cumin, Jasmine and Strawberries",5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
41,BENTLEY,Azure,387.0,107.0,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean and Orcanox","Pimento, Tea Accord, Lavender and Clary Sage",4.6,Cute Shop,4.1,538,False,True,False,False,False,False,True,False,False
42,VERSACE,Dylan Blue,85.0,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467,False,True,False,False,False,False,True,False,False
43,Estee Lauder,Modern Muse,450.0,164.4,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5.0,King-Perfume,3.9,450,False,False,False,True,False,True,False,False,False
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583.0,204.0,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5.0,Parfume-Stor,4.1,319,False,True,False,False,False,True,False,False,False
45,Juicy Couture,Vivi La Juicy Limited Edition,235.0,154.1,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",5.0,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
46,Laura Mars,Splandid,36.0,36.0,100,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli and Ylang-Ylan",5.0,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
47,GIORGIO ARMANI,Stronger With You,415.0,170.0,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
48,CHLOE,Chloe,631.0,186.0,75,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",3.5,عالم المشاهير,3.5,75,False,False,False,True,False,True,False,False,False
49,HERMES,Terre D'Hermes,15.0,9.55,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver and Benzoin",Pepper and Pelargonium,5.0,beautiful lady,3.8,23,False,True,False,False,False,False,True,False,False
50,Elizabeth Arden,5Th Avenue,135.0,89.4,125,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",3.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
